"","type","severity","pedestrian","bicycle","motorcycle","roadtype","coord_e","coord_n","weekday","hour","date","accidents"
"42892",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2683574,1246734,"Wednesday","12h-13h",2020-01-01,1
"42893","Parking","Property damage",FALSE,FALSE,FALSE,"Other",2686772,1245913,"Wednesday","15h-16h",2020-01-01,1
"42894","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2684585,1245747,"Wednesday","15h-16h",2020-01-01,1
"42895","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2683328,1250439,"Wednesday","15h-16h",2020-01-01,1
"42896","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Motorway",2684948,1251185,"Wednesday","16h-17h",2020-01-01,1
"42897","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683076,1249744,"Wednesday","17h-18h",2020-01-01,1
"42898","Turning-into main road","Light injuries",FALSE,FALSE,TRUE,"Minor road",2681693,1246790,"Wednesday","18h-19h",2020-01-01,1
"42899","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2685207,1251772,"Wednesday","18h-19h",2020-01-01,1
"42900",NA,"Light injuries",FALSE,TRUE,FALSE,"Minor road",2682377,1247449,"Wednesday","19h-20h",2020-01-01,1
"42901",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2682770,1245149,"Wednesday","21h-22h",2020-01-01,1
"42902","Parking","Property damage",FALSE,FALSE,FALSE,"Other",2680946,1249566,"Thursday","08h-09h",2020-01-01,1
"42903","Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Minor road",2684555,1245427,"Thursday","08h-09h",2020-01-01,1
"42904","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2685560,1251707,"Thursday","08h-09h",2020-01-01,1
"42905","Skidding or self-accident","Severe injuries",FALSE,TRUE,FALSE,"Minor road",2684851,1246060,"Thursday","08h-09h",2020-01-01,1
"42906","Accident involving pedestrian(s)","Severe injuries",TRUE,TRUE,FALSE,"Minor road",2686088,1250676,"Thursday","12h-13h",2020-01-01,1
"42907","Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Principal road",2682212,1249279,"Thursday","12h-13h",2020-01-01,1
"42908","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2679539,1248372,"Thursday","12h-13h",2020-01-01,1
"42909","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2679491,1247320,"Thursday","12h-13h",2020-01-01,1
"42910","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2681940,1247039,"Thursday","12h-13h",2020-01-01,1
"42911","Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Minor road",2679456,1249128,"Thursday","13h-14h",2020-01-01,1
"42912","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683330,1247083,"Thursday","13h-14h",2020-01-01,1
"42913","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682332,1247985,"Thursday","13h-14h",2020-01-01,1
"42914","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682546,1248085,"Thursday","14h-15h",2020-01-01,1
"42915","Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Motorway",2680825,1253748,"Thursday","14h-15h",2020-01-01,1
"42916","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2683783,1248325,"Thursday","14h-15h",2020-01-01,1
"42917",NA,"Property damage",FALSE,FALSE,FALSE,"Motorway",2683370,1254107,"Thursday","14h-15h",2020-01-01,1
"42918","Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Principal road",2682791,1250756,"Thursday","15h-16h",2020-01-01,1
"42919","Accident involving pedestrian(s)","Severe injuries",TRUE,FALSE,FALSE,"Minor road",2680429,1250560,"Thursday","17h-18h",2020-01-01,1
"42920","Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Motorway",2685511,1251766,"Thursday","17h-18h",2020-01-01,1
"42921","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683533,1247594,"Thursday","19h-20h",2020-01-01,1
"42922","Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Minor road",2678917,1247865,"Friday","07h-08h",2020-01-01,1
"42923","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2681628,1247679,"Friday","08h-09h",2020-01-01,1
"42924","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683596,1253499,"Friday","10h-11h",2020-01-01,1
"42925","Turning left or right","Light injuries",FALSE,FALSE,FALSE,"Principal road",2685183,1246106,"Friday","10h-11h",2020-01-01,1
"42926","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2685231,1246107,"Friday","11h-12h",2020-01-01,1
"42927","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2685017,1250991,"Friday","14h-15h",2020-01-01,1
"42928",NA,"Property damage",FALSE,FALSE,FALSE,"Motorway",2681743,1244624,"Friday","14h-15h",2020-01-01,1
"42929",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2680495,1251033,"Friday","16h-17h",2020-01-01,1
"42930","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2681220,1247593,"Friday","18h-19h",2020-01-01,1
"42931","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2681581,1247674,"Friday","18h-19h",2020-01-01,1
"42932",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2683590,1246771,"Friday","20h-21h",2020-01-01,1
"42933","Accident involving pedestrian(s)","Light injuries",TRUE,FALSE,FALSE,"Minor road",2684499,1245912,"Friday","21h-22h",2020-01-01,1
"42934","Turning-into main road","Light injuries",FALSE,TRUE,FALSE,"Minor road",2681693,1246790,"Saturday","03h-04h",2020-01-01,1
"42935","Turning left or right","Light injuries",FALSE,FALSE,FALSE,"Minor road",2682905,1246818,"Saturday","08h-09h",2020-01-01,1
"42936","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2681506,1247206,"Saturday","10h-11h",2020-01-01,1
"42937","Head-on collision","Light injuries",FALSE,TRUE,FALSE,"Minor road",2681768,1249310,"Saturday","10h-11h",2020-01-01,1
"42938",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2683852,1247187,"Saturday","11h-12h",2020-01-01,1
