"type","severity","pedestrian","bicycle","motorcycle","roadtype","coord_e","coord_n","year","month","month_name","weekday","weekday_name","hour"
"Crossing the lane(s)","Property damage",FALSE,FALSE,FALSE,"Minor road",2682543,1248793,2020,1,"January",5,"Friday","03h-04h"
"Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Minor road",2683813,1247270,2020,1,"January",5,"Friday","08h-09h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Motorway",2681921,1243572,2020,1,"January",5,"Friday","08h-09h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682297,1247673,2020,1,"January",5,"Friday","08h-09h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Other",2683539,1247594,2020,1,"January",5,"Friday","10h-11h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2680377,1247955,2020,1,"January",5,"Friday","12h-13h"
"Turning left or right","Light injuries",FALSE,TRUE,FALSE,"Minor road",2680604,1248588,2020,1,"January",5,"Friday","13h-14h"
"Rear-end collision","Property damage",FALSE,FALSE,TRUE,"Minor road",2680851,1247994,2020,1,"January",5,"Friday","14h-15h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2682793,1244767,2020,1,"January",5,"Friday","15h-16h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2680744,1245674,2020,1,"January",5,"Friday","16h-17h"
"Skidding or self-accident","Light injuries",FALSE,TRUE,FALSE,"Minor road",2681379,1248472,2020,1,"January",6,"Saturday","00h-01h"
"Turning left or right","Property damage",FALSE,FALSE,FALSE,"Minor road",2682121,1247081,2020,1,"January",6,"Saturday","00h-01h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682356,1247936,2020,1,"January",6,"Saturday","07h-08h"
"Turning left or right","Property damage",FALSE,TRUE,FALSE,"Principal road",2682084,1247033,2020,1,"January",6,"Saturday","08h-09h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683319,1251552,2020,1,"January",6,"Saturday","10h-11h"
"Turning-into main road","Light injuries",FALSE,FALSE,TRUE,"Minor road",2679992,1247867,2020,1,"January",6,"Saturday","11h-12h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2683287,1246870,2020,1,"January",6,"Saturday","15h-16h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Other",2683149,1251933,2020,1,"January",6,"Saturday","17h-18h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Other",2679254,1248705,2020,1,"January",6,"Saturday","18h-19h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Minor road",2682896,1247311,2020,1,"January",6,"Saturday","23h-00h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Principal road",2683853,1247180,2020,1,"January",7,"Sunday","00h-01h"
"Turning left or right","Property damage",FALSE,FALSE,FALSE,"Minor road",2682098,1248326,2020,1,"January",7,"Sunday","05h-06h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683192,1247960,2020,1,"January",7,"Sunday","05h-06h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682609,1248031,2020,1,"January",7,"Sunday","12h-13h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2685215,1246707,2020,1,"January",7,"Sunday","12h-13h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Other",2679806,1249226,2020,1,"January",7,"Sunday","12h-13h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2681947,1246836,2020,1,"January",7,"Sunday","14h-15h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2684555,1251176,2020,1,"January",7,"Sunday","15h-16h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2683085,1248163,2020,1,"January",7,"Sunday","15h-16h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2682800,1249019,2020,1,"January",7,"Sunday","17h-18h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2685621,1248395,2020,1,"January",1,"Monday","08h-09h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683883,1246295,2020,1,"January",1,"Monday","08h-09h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Principal road",2682085,1247041,2020,1,"January",1,"Monday","09h-10h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2681606,1246323,2020,1,"January",1,"Monday","09h-10h"
"Turning left or right","Light injuries",FALSE,FALSE,FALSE,"Minor road",2682980,1248212,2020,1,"January",1,"Monday","10h-11h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Minor road",2683769,1246600,2020,1,"January",1,"Monday","12h-13h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682946,1246959,2020,1,"January",1,"Monday","13h-14h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2681656,1248055,2020,1,"January",1,"Monday","13h-14h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Motorway",2681785,1244068,2020,1,"January",1,"Monday","15h-16h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682085,1247323,2020,1,"January",1,"Monday","16h-17h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2684756,1246704,2020,1,"January",1,"Monday","16h-17h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2684774,1246372,2020,1,"January",1,"Monday","16h-17h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2682120,1247072,2020,1,"January",1,"Monday","17h-18h"
"Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Principal road",2685496,1250933,2020,1,"January",1,"Monday","17h-18h"
"Skidding or self-accident","Light injuries",FALSE,TRUE,FALSE,"Minor road",2683711,1253061,2020,1,"January",1,"Monday","18h-19h"
